Reservations,OnlineDelivery,PriceCode,RatingCode,Votes
0,0,3,3,140
0,0,2,3,71
0,0,2,3,94
0,0,2,4,87
0,0,3,4,177
0,0,4,4,45
0,0,4,4,133
0,0,4,4,41
0,0,3,3,59
0,0,4,3,46
0,0,1,3,103
0,0,2,4,121
0,0,3,2,70
0,0,1,5,77
0,0,4,3,57
0,0,1,3,98
0,0,3,3,175
0,0,2,4,134
0,0,3,4,166
0,0,2,4,168
0,0,3,4,1582
0,0,4,3,1315
0,1,1,5,217
0,0,3,4,769
0,1,3,4,731
0,1,2,4,113
0,1,3,4,944
0,1,3,3,63
0,0,3,3,375
0,0,2,5,166
0,0,2,4,697
0,0,3,4,325
0,1,2,3,432
0,1,2,4,744
0,1,2,4,404
0,1,2,4,317
0,1,3,5,1138
0,0,3,4,1041
0,0,3,4,192
0,1,2,3,166
0,0,3,4,535
0,0,3,2,57
0,0,2,2,76
0,0,3,2,51
0,0,3,2,99
0,0,3,2,83
0,0,3,2,18
0,0,3,2,58
0,0,2,2,53
0,0,3,2,6
0,0,3,2,35
0,0,2,2,32
0,0,3,2,151
0,0,1,2,49
0,0,3,2,106
0,0,4,3,59
0,0,1,3,105
0,0,3,3,105
0,0,3,3,57
0,0,2,3,134
0,0,3,2,58
0,0,2,2,345
0,0,1,3,151
0,0,1,4,52
0,0,3,2,122
0,0,1,3,56
0,0,1,3,91
0,0,2,2,26
0,0,3,2,98
0,0,2,3,111
0,0,2,3,51
0,0,1,3,206
0,0,2,2,44
0,0,2,3,94
0,0,2,3,461
0,0,2,3,276
0,0,2,3,71
0,0,1,4,104
0,0,2,4,878
0,0,2,3,192
0,0,3,3,96
0,0,1,4,140
0,0,3,3,240
0,0,3,2,65
0,0,2,2,63
0,0,2,2,19
0,0,2,2,46
0,0,2,2,75
0,0,4,2,94
0,0,2,2,47
0,0,2,2,71
0,0,3,3,73
0,0,1,3,21
0,0,2,2,46
0,0,2,2,45
0,0,2,2,34
0,0,2,3,89
0,0,2,2,8
0,0,2,2,39
0,0,2,2,74
0,0,2,2,76
0,0,2,2,71
1,1,3,4,2416
1,1,4,5,2369
0,0,4,5,10934
1,0,3,3,1354
0,1,3,4,231
0,0,2,4,3533
0,1,2,4,1413
0,0,2,5,781
0,0,2,5,276
0,1,2,5,9667
1,0,3,4,5385
0,1,1,4,753
0,0,3,5,1288
0,0,3,5,6907
1,0,3,4,983
0,0,2,5,627
0,0,3,4,334
1,1,3,5,5705
0,0,3,3,405
0,0,3,4,754
0,0,1,2,51
0,0,2,2,63
0,0,1,5,427
0,0,2,3,126
0,0,2,4,223
0,0,3,4,257
0,0,3,4,103
0,0,2,4,118
0,0,2,3,98
0,0,2,3,33
0,0,2,3,175
0,0,2,3,111
0,0,2,3,20
0,0,2,4,103
0,0,2,4,243
0,0,2,4,238
0,0,4,4,128
0,0,2,3,161
0,0,3,3,79
0,0,2,4,120
0,0,2,3,289
0,0,2,4,379
0,0,3,5,154
0,0,2,5,145
0,0,2,3,247
0,0,2,4,145
0,0,2,3,118
0,0,3,4,256
0,0,1,3,173
0,0,2,3,424
0,0,1,3,338
0,0,2,3,228
0,0,1,3,253
0,0,2,4,90
0,0,1,4,197
0,0,2,4,69
0,0,1,4,199
0,0,2,3,56
0,0,2,4,49
0,0,3,4,345
0,0,1,3,89
0,1,2,3,665
0,0,3,4,676
0,1,3,4,970
0,0,3,4,300
0,0,3,4,428
0,0,3,4,1022
0,0,3,5,1450
0,0,3,4,228
0,0,2,3,982
0,1,3,2,502
0,0,2,4,698
0,0,2,4,397
0,1,1,4,265
0,1,2,4,252
0,0,2,2,86
0,0,4,4,817
0,1,2,5,249
0,0,2,4,356
1,1,2,4,1810
1,1,2,3,519
1,1,2,4,1504
1,1,2,4,841
1,1,3,5,1262
0,1,1,4,191
0,0,1,5,1510
0,0,3,4,1004
1,1,3,4,1820
1,1,3,5,1753
1,0,3,4,1714
0,1,2,3,1317
1,1,3,4,1607
1,1,2,4,645
